,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
40504,40469,22812,"Yeo, Vincent Khee Chong (SGP)",46753,45-49,02:23:40,05:22:39
40505,40470,17549,"Kettelhut, Kendra (USA)",31862,40-44,02:34:14,05:22:40
40506,40471,17550,"Nguyen, Christine (USA)",64507,40-44,02:27:04,05:22:40
40507,40472,22813,"Feusier, John (USA)",61019,35-39,02:19:20,05:22:40
40508,40473,17551,"Arteaga, Jacklyn (USA)",48194,40-44,02:28:32,05:22:41
40509,40474,17552,"Zirolli, Jen (USA)",49347,35-39,02:25:46,05:22:41
40510,40475,22814,"Park, Dong jin (KOR)",7939,65-69,02:28:59,05:22:42
40511,40476,22815,"Vera, Rob (USA)",54052,50-54,02:28:34,05:22:43
40512,40477,22816,"Abaya, Victor (USA)",58345,45-49,02:30:36,05:22:43
40513,40478,17553,"Lee, Destiny (USA)",54551,40-44,02:30:54,05:22:43
40514,40479,17554,"Anthony, Amy (USA)",56963,30-34,02:41:54,05:22:43
40515,40480,22817,"Anthony, Geoff (USA)",56964,30-34,02:41:54,05:22:43
40516,40481,22818,"Sanchez, Steven (USA)",52534,55-59,02:38:20,05:22:44
40517,40482,17555,"Anderson, Marion (USA)",41747,25-29,02:35:37,05:22:46
40518,40483,22819,"Hernandez, Luke (USA)",22989,35-39,02:23:10,05:22:46
40519,40484,22820,"Miccione, Nicola (BRA)",34119,45-49,02:16:16,05:22:46
40520,40485,22821,"McCollum, Alan (USA)",43645,70-74,02:24:39,05:22:46
40521,40486,17556,"Freeman, Erica (USA)",50946,35-39,02:23:55,05:22:47
40522,40487,17557,"Shea, Meghan (USA)",38806,25-29,02:24:31,05:22:47
40523,40488,17558,"Schadt, Callie (USA)",35522,25-29,02:24:31,05:22:47
40524,40489,17559,"Sloane, Wendi (USA)",54838,65-69,02:35:35,05:22:48
40525,40490,22822,"Cervantes Moreno, Gilberto (MEX)",46554,55-59,02:28:20,05:22:48
40526,40491,22823,"O'Brien, Thomas (USA)",38779,20-24,02:40:13,05:22:49
40527,40492,22824,"Feldman, Jesse (CAN)",53943,30-34,02:32:44,05:22:50
40528,40493,17560,"Melby, Sarah (USA)",48915,25-29,02:34:07,05:22:50
40529,40494,22825,"Singleton, Mike (USA)",48806,50-54,02:20:25,05:22:50
40530,40495,22826,"Feldman, Allan (CAN)",52698,65-69,02:32:45,05:22:50
40531,40496,17561,"Rundell, Alexandra (USA)",43470,35-39,02:26:48,05:22:51
40532,40497,17562,"Latham, Allison (USA)",39785,30-34,02:29:59,05:22:51
40533,40498,22827,"Stein, Matt (USA)",49322,25-29,02:25:57,05:22:51
40534,40499,17563,"Risley, Jennifer (USA)",68139,40-44,02:37:27,05:22:51
40535,40500,17564,"Latham, Helena (USA)",39783,35-39,02:29:59,05:22:51
40536,40501,17565,"Richter, Julia (GER)",46317,20-24,02:13:35,05:22:52
40537,40502,17566,"Rojas, Tracy (USA)",30208,55-59,02:30:44,05:22:52
40538,40503,22828,"Wong, Geoffrey (CAN)",53047,45-49,02:19:26,05:22:52
40539,40504,22829,"Kilpatrick, Sean (USA)",60737,25-29,02:25:57,05:22:52
40540,40505,17567,"Villegas, Alejandra (USA)",42132,25-29,02:34:03,05:22:52
40541,40506,17568,"Leggi, Jennifer (USA)",54773,35-39,02:20:47,05:22:53
40542,40507,22830,"Kirchrath, Gottfried (GER)",46324,65-69,02:20:50,05:22:53
40543,40508,22831,"Leung, Dennis (USA)",58571,65-69,02:26:09,05:22:53
40544,40509,17569,"Kriesel, Kelly (USA)",63770,40-44,02:37:24,05:22:53
40545,40510,22832,"Lopez, Juan (USA)",61409,45-49,02:26:33,05:22:54
40546,40511,22833,"Holt, Michael (USA)",62769,50-54,02:31:20,05:22:56
40547,40512,22834,"Jagtial, Rajinesh (IND)",53075,45-49,02:20:48,05:22:56
40548,40513,17570,"Osgood, Paula (USA)",42903,50-54,02:35:54,05:22:56
40549,40514,17571,"Quarterman, Bettina (USA)",55830,40-44,02:41:29,05:22:57
40550,40515,22835,"Seidakhmet, Meiirimbek (KAZ)",9616,30-34,02:06:16,05:22:58
40551,40516,17572,"Magaly Rodriguez, Miriam (USA)",54810,55-59,02:32:38,05:22:58
40552,40517,22836,"Ziese, Ralf (GER)",7798,60-64,02:47:33,05:22:58
40553,40518,22837,"Lee, Inseop (KOR)",40633,35-39,02:31:39,05:22:58
40554,40519,22838,"Pasqua, Anthony (USA)",37172,45-49,02:17:39,05:22:59
40555,40520,22839,"Norbis, Mario (USA)",31768,45-49,02:32:50,05:22:59
40556,40521,17573,"Landreth, Ruth (GBR)",61096,55-59,02:34:36,05:23:00
40557,40522,17574,"Katz, Talia (USA)",47715,20-24,02:22:22,05:23:00
40558,40523,17575,"Curry, Robin (USA)",58020,40-44,02:38:43,05:23:00
40559,40524,17576,"Threlkeld, Amy (USA)",31321,45-49,02:24:30,05:23:01
40560,40525,22840,"Arma, Chris (USA)",33429,45-49,02:24:30,05:23:01
40561,40526,17577,"Collins, Rachel (USA)",57724,25-29,02:44:10,05:23:01
40562,40527,22841,"Bernardi, Jacob (USA)",60566,20-24,02:46:43,05:23:02
40563,40528,17578,"Campos, Yesenia (USA)",32295,35-39,02:29:54,05:23:02
40564,40529,17579,"Cousineau, Karine (CAN)",60830,45-49,02:32:25,05:23:03
40565,40530,17580,"Lyon, Sandra (USA)",58351,40-44,02:35:18,05:23:03
40566,40531,22842,"Draughon, Dwight (USA)",63859,35-39,02:36:35,05:23:03
40567,40532,22843,"Juronis, Arturas (LTU)",36821,50-54,02:18:40,05:23:03
40568,40533,17581,"Feliciano, Yareli (PUR)",65826,40-44,02:35:24,05:23:03
40569,40534,17582,"Garcia, Maria (USA)",66624,55-59,02:30:16,05:23:03
40570,40535,17583,"Melillo, Carissa (USA)",32410,25-29,02:26:00,05:23:04
40571,40536,17584,"Dani, Poornima (USA)",64208,25-29,02:30:58,05:23:05
40572,40537,22844,"Basaldua, Javier (ARG)",46237,50-54,02:26:30,05:23:05
40573,40538,17585,"Marjo, Eglyn (PHI)",45390,55-59,02:23:06,05:23:06
40574,40539,17586,"Ford, Amanda (USA)",46017,30-34,02:33:13,05:23:07
40575,40540,17587,"Timmerman, Katelyn (USA)",64602,25-29,02:29:43,05:23:07
40576,40541,17588,"Poon, Sandy (USA)",20891,45-49,02:37:34,05:23:08
40577,40542,22845,"Hardy, Justin (USA)",55413,40-44,02:34:07,05:23:09
40578,40543,22846,"Beh, Joevy (MAS)",56140,30-34,02:17:10,05:23:10
40579,40544,22847,"Toro Toro, Carlos (USA)",52088,40-44,02:20:42,05:23:10
40580,40545,17589,"Diaz De Jesus, Janeth (MEX)",61172,35-39,02:22:57,05:23:10
40581,40546,17590,"Evans, Jaclyn (USA)",55496,40-44,02:38:17,05:23:10
40582,40547,22848,"Abouaf, Evan (USA)",58719,25-29,02:31:37,05:23:11
40583,40548,17591,"McElroy, Joye (USA)",32423,65-69,02:29:56,05:23:11
40584,40549,17592,"Knapp, Deanna (USA)",47159,30-34,02:31:37,05:23:11
40585,40550,17593,"Szymarek, Tiffany (USA)",63680,40-44,02:37:04,05:23:11
40586,40551,22849,"Patel, Vishal (USA)",55303,35-39,02:40:18,05:23:11
40587,40552,17594,"Erickson, Sherri (USA)",67649,60-64,02:36:35,05:23:12
40588,40553,17595,"Murray, Mary Kate (USA)",45517,30-34,02:42:49,05:23:12
40589,40554,22850,"Keene, Jim (USA)",56455,65-69,02:29:02,05:23:12
40590,40555,17596,"Riviere, Claron (GBR)",62525,65-69,02:31:16,05:23:13
40591,40556,17597,"Stookey, Laura (USA)",47708,30-34,02:34:13,05:23:14
40592,40557,22851,"ArÁmbula ArÁmbula, Erik Obiel (MEX)",49842,40-44,02:26:20,05:23:14
40593,40558,17598,"Ackerman, Elana (USA)",53923,35-39,02:39:04,05:23:15
40594,40559,22852,"Kessler, Winfried (GER)",57125,55-59,02:37:55,05:23:15
40595,40560,17599,"Decarpigny, Gwenaelle (FRA)",62297,45-49,02:35:19,05:23:15
40596,40561,22853,"Buttenmüller, Martin (GER)",57131,55-59,02:37:55,05:23:15
40597,40562,17600,"Serup, Paige (USA)",55109,25-29,02:32:17,05:23:16
40598,40563,17601,"Maurer, Guadalupe (MEX)",46590,55-59,02:33:59,05:23:16
40599,40564,17602,"Auerbach, Jennifer (USA)",42628,30-34,02:35:43,05:23:17
40600,40565,17603,"Rooney, Lauren (NZL)",53389,30-34,02:24:19,05:23:17
40601,40566,22854,"O'Neill, Mark (IRL)",35189,40-44,02:24:16,05:23:17
40602,40567,22855,"Rodriguez, Eduard (ESP)",41063,20-24,02:18:40,05:23:17
40603,40568,17604,"Stokes, Mary (USA)",64052,60-64,02:33:56,05:23:17
40604,40569,17605,"Chlebnik, Aimee (USA)",45699,35-39,02:31:01,05:23:19
40605,40570,17606,"Mead, Kate (CAN)",64372,45-49,02:30:11,05:23:19
40606,40571,17607,"Huntington, Alicia (USA)",68451,40-44,02:38:30,05:23:19
40607,40572,22856,"Kwon, Sangjin (KOR)",33352,60-64,02:19:41,05:23:20
40608,40573,22857,"Sanchez, Gregorio (MEX)",34700,45-49,02:38:53,05:23:20
40609,40574,22858,"Fitz, Martin (USA)",54509,40-44,02:36:53,05:23:20
40610,40575,22859,"Simmons, Brian (USA)",58566,45-49,02:25:26,05:23:21
40611,40576,22860,"Parra, Oswaldo (MEX)",59445,65-69,02:29:19,05:23:21
40612,40577,17608,"Osullivan, Deirdre (USA)",53846,35-39,02:42:39,05:23:21
40613,40578,22861,"Wheeler, Aaron (USA)",47168,35-39,02:33:09,05:23:21
40614,40579,17609,"Pacer, Julie (USA)",50858,45-49,02:34:21,05:23:22
40615,40580,17610,"Byron, Carol (USA)",36419,55-59,02:23:44,05:23:22
40616,40581,22862,"Kruttamas, Anucha (THA)",29341,35-39,02:20:13,05:23:23
40617,40582,22863,"Liu, Yilang (TPE)",62474,35-39,02:34:06,05:23:23
40618,40583,22864,"Endres, Scott (USA)",27496,45-49,02:19:20,05:23:23
40619,40584,17611,"Watroba, Amy (USA)",47894,45-49,02:24:33,05:23:23
40620,40585,22865,"Nowak, Timothy (USA)",63656,35-39,02:36:06,05:23:25
40621,40586,22866,"Nance, Kenneth (USA)",33547,55-59,02:31:38,05:23:25
40622,40587,17612,"Smith, Jennifer (USA)",30899,50-54,02:34:03,05:23:26
40623,40588,17613,"Arguedas Artavia, Gabriela (CRC)",52881,40-44,02:39:06,05:23:27
40624,40589,17614,"Wemyss, Rebecca (CAN)",52754,40-44,02:39:52,05:23:28
40625,40590,17615,"O'Malley, Maire Keelin (USA)",56581,25-29,02:29:32,05:23:29
40626,40591,17616,"Hoffman, Barbara (RSA)",62456,55-59,02:25:30,05:23:30
40627,40592,22867,"Nicely, Dave (USA)",41519,60-64,02:32:01,05:23:30
40628,40593,17617,"Giardini, Debbie (USA)",45945,55-59,02:23:40,05:23:31
40629,40594,17618,"Davis, Amy (USA)",67622,30-34,02:20:38,05:23:31
40630,40595,22868,"Yi, Midm (USA)",52344,35-39,02:15:55,05:23:31
40631,40596,17619,"Hoellerman, Meagan (USA)",55084,30-34,02:28:00,05:23:32
40632,40597,17620,"Nantapiromporn, Kessara (THA)",62500,40-44,02:37:42,05:23:32
40633,40598,17621,"Perez, Elizabeth (USA)",52394,60-64,02:33:04,05:23:32
40634,40599,22869,"Ackerman, Eric (USA)",47258,50-54,02:15:01,05:23:33
40635,40600,38,"Klaas, Scott (USA)",52271,–,02:38:29,05:23:33
40636,40601,17622,"Ruder, Micaela (USA)",57665,25-29,02:23:54,05:23:33
40637,40602,17623,"Diaz, Krisia (CRC)",46266,50-54,02:39:29,05:23:33
40638,40603,22870,"Seifert, John (USA)",55048,45-49,02:16:53,05:23:35
40639,40604,17624,"Oerareemitr, Nittha (THA)",29299,40-44,–,05:23:36
40640,40605,17625,"Choi, Songi (KOR)",65725,35-39,02:28:57,05:23:37
40641,40606,22871,"Garcia, Paul (USA)",55722,45-49,02:27:19,05:23:37
40642,40607,17626,"Rogers, Destiny (USA)",62814,25-29,02:24:54,05:23:37
40643,40608,17627,"Hill, Micaela (USA)",50085,25-29,02:28:49,05:23:38
40644,40609,17628,"Jones Henry, Windy (USA)",50940,45-49,02:24:46,05:23:38
40645,40610,22872,"Jordan, James (USA)",54738,55-59,02:39:30,05:23:38
40646,40611,22873,"Enos, John (USA)",43576,30-34,02:33:10,05:23:39
40647,40612,17629,"Groszek, Lisa (USA)",33573,45-49,02:31:38,05:23:40
40648,40613,22874,"Rowe, Hayden (USA)",56543,25-29,02:33:05,05:23:41
40649,40614,17630,"Schwartz, Lindsay (USA)",67793,35-39,02:38:30,05:23:41
40650,40615,22875,"Gruner, Adam (USA)",63838,40-44,02:38:30,05:23:41
40651,40616,17631,"De Meyer, Kelly (BEL)",59235,40-44,02:27:41,05:23:42
40652,40617,17632,"Creed, Kelsey (USA)",45962,30-34,02:21:29,05:23:42
40653,40618,22876,"Hernandez, Ulises (MEX)",31937,40-44,02:03:58,05:23:42
40654,40619,17633,"Eppel, Kellie (USA)",49605,30-34,02:22:26,05:23:42
40655,40620,22877,"Kang, Su (USA)",60282,55-59,02:17:35,05:23:43
40656,40621,22878,"Williams, Torey (USA)",29818,45-49,02:23:24,05:23:43
40657,40622,17634,"Christiana, Christiana (INA)",58281,40-44,02:41:46,05:23:43
40658,40623,22879,"Soreng, Atul (IND)",63129,45-49,02:36:43,05:23:43
40659,40624,22880,"Atiga, Rolando (USA)",57482,55-59,02:22:54,05:23:43
40660,40625,17635,"Herrera, Natalia (MEX)",63884,20-24,02:32:45,05:23:44
40661,40626,22881,"Mullen, Paul (USA)",44992,50-54,02:29:27,05:23:44
40662,40627,22882,"Andrian, Agung (INA)",52174,40-44,02:41:47,05:23:44
40663,40628,22883,"Coimbatore, Velayuthan (USA)",63130,50-54,02:29:54,05:23:44
40664,40629,22884,"Brown, Bob (USA)",49122,55-59,02:35:36,05:23:44
40665,40630,22885,"Villarreal, Joe (USA)",22602,55-59,01:55:44,05:23:45
40666,40631,17636,"Atiga, Memrose (USA)",57481,50-54,02:22:53,05:23:45
40667,40632,17637,"Hendrix, Marianne (USA)",47749,60-64,02:37:55,05:23:47
40668,40633,17638,"Zador, Ana (USA)",64286,45-49,02:30:43,05:23:47
40669,40634,22886,"Fabian, Alberto (USA)",14404,30-34,02:22:40,05:23:47
40670,40635,22887,"Aitken, Paul (GBR)",57484,55-59,02:32:11,05:23:48
40671,40636,22888,"Nacci, Carmen (USA)",66367,30-34,02:30:27,05:23:49
40672,40637,17639,"Nunez, Yaira (USA)",62067,30-34,02:40:56,05:23:50
40673,40638,17640,"Reynolds, Mikaela (USA)",58647,35-39,02:41:02,05:23:50
40674,40639,22889,"Edison, Dan (USA)",67814,45-49,02:33:56,05:23:50
40675,40640,22890,"Bockrath, Eric (USA)",42300,25-29,02:22:40,05:23:50
40676,40641,17641,"Schmidt, Sara (USA)",2884,30-34,02:28:18,05:23:51
40677,40642,17642,"DeConno, Jessica (USA)",30769,40-44,02:22:06,05:23:51
40678,40643,22891,"Frazier, Cody (USA)",1543,30-34,02:25:26,05:23:51
40679,40644,22892,"Quilarto, Norman (USA)",48754,50-54,02:30:51,05:23:52
40680,40645,17643,"Graham, Kelly (USA)",55987,35-39,02:37:05,05:23:52
40681,40646,17644,"Williams-Mahoney, Georgina (GBR)",62560,30-34,02:31:56,05:23:53
40682,40647,22893,"Yee, Brian (USA)",44702,60-64,02:21:10,05:23:53
40683,40648,22894,"Johnson, Alan (GBR)",35255,55-59,03:03:18,05:23:54
40684,40649,22895,"Battisti, Umberto (ITA)",49476,55-59,02:24:15,05:23:54
40685,40650,22896,"Zimbardi, Massimiliano (ITA)",49477,50-54,02:24:16,05:23:54
40686,40651,17645,"Je, Yoon Ja (USA)",54700,70-74,02:34:43,05:23:55
40687,40652,17646,"Adler, Lynn (USA)",41780,75-79,02:37:39,05:23:56
40688,40653,17647,"Servantez, Courtney (USA)",37145,30-34,02:39:55,05:23:56
40689,40654,17648,"Brown, Gina (USA)",48000,30-34,02:25:32,05:23:57
40690,40655,22897,"Mahajan, Sachin (USA)",37703,45-49,02:15:32,05:23:57
40691,40656,17649,"Tagher, Catherine (USA)",55947,45-49,02:29:28,05:23:58
40692,40657,22898,"Kujda, Grzegorz (POL)",64149,55-59,02:39:20,05:23:58
40693,40658,17650,"Fulton, Megan (USA)",45094,40-44,02:29:07,05:23:59
40694,40659,17651,"Herrera, Selina (USA)",38810,25-29,02:36:06,05:23:59
40695,40660,17652,"Benchekri, Labiba (CAN)",52722,30-34,02:31:34,05:24:00
40696,40661,17653,"Kinsella, Caroline (USA)",59010,20-24,02:42:24,05:24:00
40697,40662,17654,"Michaud, Robyn (CAN)",52806,50-54,02:31:19,05:24:00
40698,40663,22899,"Moore, Joshua (USA)",57312,20-24,02:25:45,05:24:01
40699,40664,17655,"Evinger, Nancy (USA)",49285,50-54,02:21:38,05:24:02
40700,40665,22900,"Snell, James (USA)",54478,60-64,02:32:13,05:24:02
40701,40666,17656,"Reynolds, Lindsay (USA)",37046,35-39,02:28:19,05:24:02
40702,40667,17657,"Morales, Maggie (USA)",58393,35-39,02:28:51,05:24:03
40703,40668,22901,"Elias, Nick (USA)",50179,25-29,02:41:51,05:24:04
40704,40669,17658,"McPherson, Katie (USA)",60643,35-39,02:20:25,05:24:04
40705,40670,17659,"Weedman, Kayzie (USA)",60408,30-34,02:37:58,05:24:05
40706,40671,39,"Rivas, Lucy (CRC)",40332,–,02:33:04,05:24:05
40707,40672,17660,"Taelman, Paige (USA)",60407,35-39,02:37:58,05:24:05
40708,40673,22902,"Pennington, Daniel (USA)",60016,60-64,02:31:00,05:24:06
40709,40674,22903,"Bonta, Zachary (USA)",47034,35-39,02:23:49,05:24:06
40710,40675,22904,"Basa, Michael (PHI)",29171,45-49,02:17:02,05:24:06
40711,40676,17661,"Pond, Cara (USA)",42572,30-34,02:27:00,05:24:07
40712,40677,17662,"Campradt, Kym (AUS)",61190,40-44,02:37:50,05:24:07
40713,40678,17663,"Carrera, Yuridia (MEX)",53857,30-34,02:25:33,05:24:07
40714,40679,73,"Laubach, Sam (USA)",50419,30-34,02:42:14,05:24:07
40715,40680,17664,"Elumelu, Awele (NGR)",63601,50-54,02:33:02,05:24:09
40716,40681,17665,"Kuljanin, Una (USA)",58460,35-39,02:31:13,05:24:09
40717,40682,22905,"Linsky, Ryan (USA)",62164,30-34,02:33:53,05:24:10
40718,40683,17666,"Brennan, Claudia (USA)",45818,50-54,02:33:11,05:24:10
40719,40684,22906,"Chen, Xingyu (CHN)",4466,25-29,02:08:51,05:24:10
40720,40685,22907,"Bucciarelli, Andrea (ITA)",65463,40-44,02:37:26,05:24:11
40721,40686,22908,"McDowell, Tristion (USA)",33168,30-34,02:16:58,05:24:11
40722,40687,22909,"Maney, Stephen (USA)",58395,35-39,02:15:49,05:24:11
40723,40688,17667,"Mudge, Haley (USA)",68883,20-24,02:33:07,05:24:12
40724,40689,22910,"Farley, James (USA)",50758,60-64,02:34:46,05:24:13
40725,40690,17668,"Parker, Victoria (USA)",55065,40-44,02:35:58,05:24:13
40726,40691,17669,"Beach, Melissa (USA)",60216,50-54,02:35:35,05:24:13
40727,40692,17670,"Webb, Melinda (USA)",60124,40-44,02:31:03,05:24:13
40728,40693,17671,"Wood, Savannah (USA)",51648,35-39,02:28:10,05:24:13
40729,40694,17672,"Silk, Erin (USA)",64490,40-44,02:45:58,05:24:14
40730,40695,22911,"Baker, David (USA)",45051,20-24,02:24:04,05:24:15
40731,40696,17673,"Booker, Gabrielle (USA)",49541,35-39,02:36:52,05:24:15
40732,40697,17674,"Gach, Jana (USA)",60113,35-39,02:28:41,05:24:16
40733,40698,17675,"Lewis, Penelope (GBR)",62531,45-49,02:32:07,05:24:16
40734,40699,17676,"Martinez, Maria (MEX)",65760,40-44,02:29:57,05:24:16
40735,40700,22912,"Bivona, Matthew (USA)",21740,45-49,02:20:49,05:24:16
40736,40701,17677,"Goray, Amy (USA)",43742,50-54,02:26:23,05:24:16
40737,40702,17678,"Kerins, Sydney (USA)",45773,50-54,02:25:09,05:24:17
40738,40703,17679,"Thurin, Jenna (USA)",67722,35-39,02:32:29,05:24:17
40739,40704,22913,"Schneiderman, Brendan (USA)",48536,25-29,02:17:00,05:24:17
40740,40705,22914,"Ynestrillas Vega, Ernesto (MEX)",34744,35-39,02:10:47,05:24:18
40741,40706,17680,"Call, Alicia (USA)",36634,40-44,02:34:47,05:24:18
40742,40707,17681,"Hall, Susan (USA)",13650,65-69,02:39:03,05:24:19
40743,40708,17682,"Lara, Laura (USA)",64100,35-39,02:29:03,05:24:19
40744,40709,22915,"Vandy, Frank (USA)",67473,45-49,02:18:37,05:24:20
40745,40710,17683,"Gallegos de la Torre, Gabriela (MEX)",53237,50-54,02:29:24,05:24:20
40746,40711,74,"Minea, Dan (USA)",18929,30-34,02:01:12,05:24:20
40747,40712,22916,"Villalobos Sanchez, Jaime (MEX)",53241,60-64,02:29:24,05:24:20
40748,40713,22917,"Ruiz, Joseph (USA)",45083,25-29,02:31:21,05:24:21
40749,40714,22918,"Tacey, Sean (USA)",66604,30-34,02:39:27,05:24:21
40750,40715,17684,"Martija, Ofelia Ira (PHI)",56677,30-34,02:31:53,05:24:21
40751,40716,22919,"Myers, Jacob (USA)",52035,19 and under,02:34:42,05:24:22
40752,40717,17685,"Castillo, Ingrid (DOM)",52917,50-54,02:33:53,05:24:22
40753,40718,17686,"Gauss, Caroline (USA)",43928,25-29,02:20:56,05:24:22
40754,40719,22920,"York, Jack (USA)",63852,30-34,02:35:33,05:24:22
40755,40720,22921,"Wischt, Frank (USA)",58729,55-59,02:26:08,05:24:22
40756,40721,22922,"Baliko, Chad (USA)",20819,35-39,02:36:16,05:24:23
40757,40722,22923,"Avalos, Manuel (MEX)",59466,55-59,02:16:26,05:24:23
40758,40723,17687,"Dye, Hilary (USA)",42568,40-44,02:37:22,05:24:23
40759,40724,22924,"Gunaratna, Kavindu (USA)",60600,20-24,02:41:39,05:24:24
40760,40725,17688,"Anziani, Karine (FRA)",57192,45-49,02:32:02,05:24:24
40761,40726,17689,"Heijmans, Evy (NED)",43727,25-29,02:31:46,05:24:24
40762,40727,22925,"Huynh, Tuan (USA)",58458,45-49,02:15:28,05:24:25
40763,40728,17690,"Zong, Pingping (USA)",48696,50-54,02:21:45,05:24:25
40764,40729,17691,"Pusarla, Sai Prasanna (USA)",66658,40-44,02:30:36,05:24:25
40765,40730,17692,"Knight, Kristen (AUS)",52079,50-54,02:30:49,05:24:27
40766,40731,17693,"Cardenas, Stephanie (USA)",42800,30-34,02:35:42,05:24:27
40767,40732,17694,"Davis, Joanna (USA)",56277,45-49,02:33:38,05:24:27
40768,40733,17695,"Jones, Julesha (USA)",14822,50-54,02:25:26,05:24:27
40769,40734,22926,"Ericsson, Sven (USA)",67440,70-74,02:31:56,05:24:27
40770,40735,17696,"McDermott, Erica (USA)",60629,50-54,02:25:27,05:24:27
40771,40736,17697,"Garcia, Geraldine (USA)",42694,35-39,02:33:18,05:24:28
40772,40737,17698,"DeAlba, Grisdela (USA)",54520,40-44,02:32:40,05:24:28
40773,40738,22927,"Prescott, Richard (USA)",48222,65-69,02:21:17,05:24:28
40774,40739,17699,"Salmeron, Claudia (USA)",63631,40-44,02:35:47,05:24:29
40775,40740,17700,"Campbell, Maureen (USA)",57487,55-59,02:31:29,05:24:29
40776,40741,17701,"Hansen, Allyson (USA)",20861,60-64,02:31:29,05:24:29
40777,40742,22928,"Rhodes, Jereme (USA)",45865,45-49,02:37:23,05:24:30
40778,40743,17702,"Moscati, Maria (BRA)",46115,50-54,02:29:57,05:24:30
40779,40744,22929,"Tandy, Jason (USA)",59715,45-49,02:25:42,05:24:30
40780,40745,17703,"Braga, Amanda (USA)",59206,30-34,02:37:23,05:24:30
40781,40746,17704,"Strelnikova, Ekaterina (RUS)",53381,25-29,02:22:40,05:24:30
40782,40747,22930,"Dominguez, Manuel (USA)",60844,40-44,02:31:37,05:24:31
40783,40748,17705,"Bragg, Mary (USA)",56044,40-44,02:35:10,05:24:31
40784,40749,17706,"Laughton, Jane (GBR)",41334,45-49,02:42:52,05:24:31
40785,40750,22931,"Ponpa, Jesus (USA)",49910,20-24,02:23:59,05:24:31
40786,40751,22932,"Larez, Francisco (USA)",52141,55-59,02:32:36,05:24:32
40787,40752,22933,"Henry, James (IRL)",49730,25-29,02:27:50,05:24:32
40788,40753,17707,"Fuentes, Vivian (USA)",53447,45-49,02:37:16,05:24:33
40789,40754,22934,"Guzman Ramirez, Luis (MEX)",38943,40-44,02:28:39,05:24:34
40790,40755,22935,"Iserloth, Jon (USA)",29805,35-39,02:20:55,05:24:34
40791,40756,17708,"Miller, Rosalia (USA)",55215,40-44,02:32:28,05:24:34
40792,40757,22936,"Verrette, Tom (USA)",57585,65-69,02:30:36,05:24:34
40793,40758,17709,"Arseneau, Julie (USA)",55312,45-49,02:37:01,05:24:34
40794,40759,17710,"DeFrancisco, Kathryn (USA)",57587,45-49,02:30:36,05:24:34
40795,40760,22937,"Trotter, Greg (USA)",57700,40-44,02:42:07,05:24:34
40796,40761,17711,"Reconco, Karen (HON)",61592,45-49,02:30:09,05:24:35
40797,40762,17712,"Vega Vidales, Aida (MEX)",53302,55-59,02:29:31,05:24:35
40798,40763,17713,"Rasanayagam, Niro (USA)",63145,50-54,02:28:59,05:24:35
40799,40764,17714,"Yingling, Annabelle (USA)",45617,20-24,–,05:24:35
40800,40765,17715,"Clark, Martha (USA)",63144,55-59,02:28:59,05:24:35
40801,40766,17716,"Hoffman, Emery (USA)",62003,20-24,02:25:32,05:24:36
40802,40767,17717,"Terpin, Lynn (USA)",39756,60-64,02:30:13,05:24:36
40803,40768,17718,"Livernois, Olivia (USA)",52016,20-24,02:22:39,05:24:36
40804,40769,17719,"O'Brien, Kathleen (USA)",51622,25-29,02:29:58,05:24:37
40805,40770,17720,"Enzerra, Enas (USA)",41489,30-34,02:39:34,05:24:37
40806,40771,17721,"Maggs, Stephanie (CAN)",34210,55-59,02:29:52,05:24:37
40807,40772,22938,"Adame, Martin (USA)",47318,30-34,02:18:22,05:24:38
40808,40773,17722,"Flood, Andee (USA)",43217,50-54,02:34:04,05:24:39
40809,40774,17723,"Saur, Natalie (USA)",57217,30-34,02:31:13,05:24:39
40810,40775,17724,"Thepmaneechai, Ketdarin (THA)",63014,40-44,02:41:24,05:24:39
40811,40776,17725,"Smith, Grace (USA)",39128,25-29,02:26:21,05:24:39
40812,40777,22939,"Ndlovu, Aussie (ZIM)",41055,40-44,02:28:27,05:24:39
40813,40778,17726,"Stumpf, Arianne (USA)",37839,35-39,02:27:51,05:24:39
40814,40779,17727,"McCaffrey, Margaret (USA)",60476,25-29,02:25:49,05:24:39
40815,40780,22940,"Campos, Jose (USA)",42764,60-64,02:27:19,05:24:40
40816,40781,17728,"Garner, Caroline (USA)",50417,55-59,02:21:13,05:24:40
40817,40782,22941,"Klink, Andreas (GER)",60898,60-64,02:30:06,05:24:40
40818,40783,17729,"Jasper, Isabelle (USA)",65509,20-24,02:48:17,05:24:42
40819,40784,22942,"Hu, Chih-Kao (USA)",36108,55-59,02:28:01,05:24:42
40820,40785,22943,"Vasilatos, Jeffrey (USA)",27660,55-59,02:05:26,05:24:42
40821,40786,22944,"Mangerini, Michele (ITA)",38895,40-44,02:15:00,05:24:43
40822,40787,22945,"Marklund, Jens (SWE)",64267,50-54,02:35:34,05:24:43
40823,40788,17730,"Saldana, Silvia (MEX)",46572,55-59,02:24:49,05:24:43
40824,40789,75,"Paik, Morgan (USA)",44933,20-24,02:23:35,05:24:44
40825,40790,17731,"Peck, Jessica (USA)",55780,35-39,02:44:50,05:24:44
